JobID,JobName,Partition,State,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
459874_29,PuddinPcc,default_partition,NODE_FAIL,2022-03-26T23:29:19,2022-03-27T00:00:00,2022-03-27T00:18:34,00:18:34,100Gn,,,,00:00:00,nikola-compute-03
459874_29.batch,batch,,CANCELLED,2022-03-27T00:00:00,2022-03-27T00:00:00,2022-03-27T00:18:34,00:18:34,100Gn,,,,00:00:00,nikola-compute-03
459874_29.extern,extern,,CANCELLED,2022-03-27T00:00:00,2022-03-27T00:00:00,2022-03-27T00:18:34,00:18:34,100Gn,,,,00:00:00,nikola-compute-03
459921_29,PuddinPcc,gpu,COMPLETED,2022-03-27T07:39:11,2022-03-27T07:39:14,2022-03-27T07:39:42,00:00:28,60Gn,,,,00:07.950,hariharan-compute-02
459921_29.batch,batch,,COMPLETED,2022-03-27T07:39:14,2022-03-27T07:39:14,2022-03-27T07:39:42,00:00:28,60Gn,1256K,80248K,0,00:07.947,hariharan-compute-02
459921_29.extern,extern,,COMPLETED,2022-03-27T07:39:14,2022-03-27T07:39:14,2022-03-27T07:39:42,00:00:28,60Gn,1164K,80212K,0,00:00.002,hariharan-compute-02
459923_29,PuddinPcc,gpu,COMPLETED,2022-03-27T07:44:11,2022-03-27T07:44:11,2022-03-27T07:44:32,00:00:21,60Gn,,,,00:07.336,sablab-gpu-04
459923_29.batch,batch,,COMPLETED,2022-03-27T07:44:11,2022-03-27T07:44:11,2022-03-27T07:44:32,00:00:21,60Gn,1240K,80248K,0,00:07.335,sablab-gpu-04
459923_29.extern,extern,,COMPLETED,2022-03-27T07:44:11,2022-03-27T07:44:11,2022-03-27T07:44:32,00:00:21,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
459926_29,PuddinPcc,gpu,COMPLETED,2022-03-27T07:49:11,2022-03-27T07:49:14,2022-03-27T07:49:34,00:00:20,60Gn,,,,00:07.301,sablab-gpu-01
459926_29.batch,batch,,COMPLETED,2022-03-27T07:49:14,2022-03-27T07:49:14,2022-03-27T07:49:34,00:00:20,60Gn,1236K,80248K,0,00:07.300,sablab-gpu-01
459926_29.extern,extern,,COMPLETED,2022-03-27T07:49:14,2022-03-27T07:49:14,2022-03-27T07:49:34,00:00:20,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-01
459927_29,PuddinPcc,gpu,COMPLETED,2022-03-27T07:54:11,2022-03-27T07:54:11,2022-03-27T07:54:22,00:00:11,60Gn,,,,00:05.518,sablab-gpu-01
459927_29.batch,batch,,COMPLETED,2022-03-27T07:54:11,2022-03-27T07:54:11,2022-03-27T07:54:22,00:00:11,60Gn,1240K,80248K,0,00:05.516,sablab-gpu-01
459927_29.extern,extern,,COMPLETED,2022-03-27T07:54:11,2022-03-27T07:54:11,2022-03-27T07:54:22,00:00:11,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-01
459958_29,PuddinPcc,gpu,COMPLETED,2022-03-27T07:59:11,2022-03-27T07:59:12,2022-03-27T07:59:33,00:00:21,60Gn,,,,00:07.400,sablab-gpu-05
459958_29.batch,batch,,COMPLETED,2022-03-27T07:59:12,2022-03-27T07:59:12,2022-03-27T07:59:33,00:00:21,60Gn,1240K,80248K,0,00:07.398,sablab-gpu-05
459958_29.extern,extern,,COMPLETED,2022-03-27T07:59:12,2022-03-27T07:59:12,2022-03-27T07:59:33,00:00:21,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459959_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:04:11,2022-03-27T08:04:12,2022-03-27T08:04:22,00:00:10,60Gn,,,,00:05.369,sablab-gpu-05
459959_29.batch,batch,,COMPLETED,2022-03-27T08:04:12,2022-03-27T08:04:12,2022-03-27T08:04:22,00:00:10,60Gn,1236K,80248K,0,00:05.367,sablab-gpu-05
459959_29.extern,extern,,COMPLETED,2022-03-27T08:04:12,2022-03-27T08:04:12,2022-03-27T08:04:22,00:00:10,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459960_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:09:11,2022-03-27T08:09:11,2022-03-27T08:09:21,00:00:10,60Gn,,,,00:05.342,sablab-gpu-05
459960_29.batch,batch,,COMPLETED,2022-03-27T08:09:11,2022-03-27T08:09:11,2022-03-27T08:09:21,00:00:10,60Gn,1236K,80248K,0,00:05.340,sablab-gpu-05
459960_29.extern,extern,,COMPLETED,2022-03-27T08:09:11,2022-03-27T08:09:11,2022-03-27T08:09:21,00:00:10,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-05
459964_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:14:11,2022-03-27T08:14:12,2022-03-27T08:14:21,00:00:09,60Gn,,,,00:05.339,sablab-gpu-05
459964_29.batch,batch,,COMPLETED,2022-03-27T08:14:12,2022-03-27T08:14:12,2022-03-27T08:14:21,00:00:09,60Gn,1240K,80248K,0,00:05.337,sablab-gpu-05
459964_29.extern,extern,,COMPLETED,2022-03-27T08:14:12,2022-03-27T08:14:12,2022-03-27T08:14:21,00:00:09,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459967_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:19:11,2022-03-27T08:19:12,2022-03-27T08:19:22,00:00:10,60Gn,,,,00:05.367,sablab-gpu-05
459967_29.batch,batch,,COMPLETED,2022-03-27T08:19:12,2022-03-27T08:19:12,2022-03-27T08:19:22,00:00:10,60Gn,1236K,80248K,0,00:05.365,sablab-gpu-05
459967_29.extern,extern,,COMPLETED,2022-03-27T08:19:12,2022-03-27T08:19:12,2022-03-27T08:19:22,00:00:10,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459968_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:24:11,2022-03-27T08:24:12,2022-03-27T08:24:22,00:00:10,60Gn,,,,00:05.358,sablab-gpu-05
459968_29.batch,batch,,COMPLETED,2022-03-27T08:24:12,2022-03-27T08:24:12,2022-03-27T08:24:22,00:00:10,60Gn,1240K,80248K,0,00:05.357,sablab-gpu-05
459968_29.extern,extern,,COMPLETED,2022-03-27T08:24:12,2022-03-27T08:24:12,2022-03-27T08:24:22,00:00:10,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459969_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:29:11,2022-03-27T08:29:12,2022-03-27T08:29:21,00:00:09,60Gn,,,,00:05.332,sablab-gpu-05
459969_29.batch,batch,,COMPLETED,2022-03-27T08:29:12,2022-03-27T08:29:12,2022-03-27T08:29:21,00:00:09,60Gn,1240K,80248K,0,00:05.331,sablab-gpu-05
459969_29.extern,extern,,COMPLETED,2022-03-27T08:29:12,2022-03-27T08:29:12,2022-03-27T08:29:21,00:00:09,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459971_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:34:11,2022-03-27T08:34:12,2022-03-27T08:34:21,00:00:09,60Gn,,,,00:05.303,sablab-gpu-05
459971_29.batch,batch,,COMPLETED,2022-03-27T08:34:12,2022-03-27T08:34:12,2022-03-27T08:34:21,00:00:09,60Gn,1240K,80248K,0,00:05.301,sablab-gpu-05
459971_29.extern,extern,,COMPLETED,2022-03-27T08:34:12,2022-03-27T08:34:12,2022-03-27T08:34:21,00:00:09,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459972_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:39:11,2022-03-27T08:39:12,2022-03-27T08:39:22,00:00:10,60Gn,,,,00:05.463,sablab-gpu-05
459972_29.batch,batch,,COMPLETED,2022-03-27T08:39:12,2022-03-27T08:39:12,2022-03-27T08:39:22,00:00:10,60Gn,1240K,80248K,0,00:05.462,sablab-gpu-05
459972_29.extern,extern,,COMPLETED,2022-03-27T08:39:12,2022-03-27T08:39:12,2022-03-27T08:39:22,00:00:10,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459973_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:44:11,2022-03-27T08:44:12,2022-03-27T08:44:21,00:00:09,60Gn,,,,00:05.304,sablab-gpu-05
459973_29.batch,batch,,COMPLETED,2022-03-27T08:44:12,2022-03-27T08:44:12,2022-03-27T08:44:21,00:00:09,60Gn,1240K,80248K,0,00:05.302,sablab-gpu-05
459973_29.extern,extern,,COMPLETED,2022-03-27T08:44:12,2022-03-27T08:44:12,2022-03-27T08:44:21,00:00:09,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459974_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:49:12,2022-03-27T08:49:12,2022-03-27T08:49:21,00:00:09,60Gn,,,,00:05.311,sablab-gpu-05
459974_29.batch,batch,,COMPLETED,2022-03-27T08:49:12,2022-03-27T08:49:12,2022-03-27T08:49:21,00:00:09,60Gn,1240K,80248K,0,00:05.309,sablab-gpu-05
459974_29.extern,extern,,COMPLETED,2022-03-27T08:49:12,2022-03-27T08:49:12,2022-03-27T08:49:21,00:00:09,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
459975_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:54:12,2022-03-27T08:54:12,2022-03-27T08:54:22,00:00:10,60Gn,,,,00:05.317,sablab-gpu-05
459975_29.batch,batch,,COMPLETED,2022-03-27T08:54:12,2022-03-27T08:54:12,2022-03-27T08:54:22,00:00:10,60Gn,1236K,80248K,0,00:05.316,sablab-gpu-05
459975_29.extern,extern,,COMPLETED,2022-03-27T08:54:12,2022-03-27T08:54:12,2022-03-27T08:54:22,00:00:10,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459976_29,PuddinPcc,gpu,COMPLETED,2022-03-27T08:59:12,2022-03-27T08:59:12,2022-03-27T08:59:21,00:00:09,60Gn,,,,00:05.362,sablab-gpu-05
459976_29.batch,batch,,COMPLETED,2022-03-27T08:59:12,2022-03-27T08:59:12,2022-03-27T08:59:21,00:00:09,60Gn,1236K,80248K,0,00:05.360,sablab-gpu-05
459976_29.extern,extern,,COMPLETED,2022-03-27T08:59:12,2022-03-27T08:59:12,2022-03-27T08:59:21,00:00:09,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
459977_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:04:12,2022-03-27T09:04:12,2022-03-27T09:04:21,00:00:09,60Gn,,,,00:05.308,sablab-gpu-05
459977_29.batch,batch,,COMPLETED,2022-03-27T09:04:12,2022-03-27T09:04:12,2022-03-27T09:04:21,00:00:09,60Gn,1240K,80248K,0,00:05.306,sablab-gpu-05
459977_29.extern,extern,,COMPLETED,2022-03-27T09:04:12,2022-03-27T09:04:12,2022-03-27T09:04:21,00:00:09,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-05
460002_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:09:12,2022-03-27T09:09:12,2022-03-27T09:09:24,00:00:12,60Gn,,,,00:05.246,hariharan-compute-02
460002_29.batch,batch,,COMPLETED,2022-03-27T09:09:12,2022-03-27T09:09:12,2022-03-27T09:09:24,00:00:12,60Gn,1252K,80248K,0,00:05.244,hariharan-compute-02
460002_29.extern,extern,,COMPLETED,2022-03-27T09:09:12,2022-03-27T09:09:12,2022-03-27T09:09:24,00:00:12,60Gn,1164K,80212K,0,00:00.002,hariharan-compute-02
460026_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:14:12,2022-03-27T09:14:13,2022-03-27T09:14:25,00:00:12,60Gn,,,,00:05.267,hinton
460026_29.batch,batch,,COMPLETED,2022-03-27T09:14:13,2022-03-27T09:14:13,2022-03-27T09:14:25,00:00:12,60Gn,1248K,80248K,0,00:05.264,hinton
460026_29.extern,extern,,COMPLETED,2022-03-27T09:14:13,2022-03-27T09:14:13,2022-03-27T09:14:25,00:00:12,60Gn,1152K,80208K,0,00:00.002,hinton
460041_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:19:12,2022-03-27T09:19:12,2022-03-27T09:19:32,00:00:20,60Gn,,,,00:07.283,sablab-gpu-01
460041_29.batch,batch,,COMPLETED,2022-03-27T09:19:12,2022-03-27T09:19:12,2022-03-27T09:19:32,00:00:20,60Gn,1240K,80248K,0,00:07.281,sablab-gpu-01
460041_29.extern,extern,,COMPLETED,2022-03-27T09:19:12,2022-03-27T09:19:12,2022-03-27T09:19:32,00:00:20,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460042_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:24:12,2022-03-27T09:24:12,2022-03-27T09:24:22,00:00:10,60Gn,,,,00:05.483,sablab-gpu-01
460042_29.batch,batch,,COMPLETED,2022-03-27T09:24:12,2022-03-27T09:24:12,2022-03-27T09:24:22,00:00:10,60Gn,1244K,80248K,0,00:05.481,sablab-gpu-01
460042_29.extern,extern,,COMPLETED,2022-03-27T09:24:12,2022-03-27T09:24:12,2022-03-27T09:24:22,00:00:10,60Gn,1148K,80188K,0,00:00.001,sablab-gpu-01
460043_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:29:12,2022-03-27T09:29:13,2022-03-27T09:29:22,00:00:09,60Gn,,,,00:05.398,sablab-gpu-01
460043_29.batch,batch,,COMPLETED,2022-03-27T09:29:13,2022-03-27T09:29:13,2022-03-27T09:29:22,00:00:09,60Gn,1236K,80248K,0,00:05.396,sablab-gpu-01
460043_29.extern,extern,,COMPLETED,2022-03-27T09:29:13,2022-03-27T09:29:13,2022-03-27T09:29:22,00:00:09,60Gn,1148K,80188K,0,00:00.001,sablab-gpu-01
460044_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,,,,00:05.447,sablab-gpu-01
460044_29.batch,batch,,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,1236K,80248K,0,00:05.445,sablab-gpu-01
460044_29.extern,extern,,COMPLETED,2022-03-27T09:34:12,2022-03-27T09:34:12,2022-03-27T09:34:22,00:00:10,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460108_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:39:12,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,,,,00:05.328,hinton
460108_29.batch,batch,,COMPLETED,2022-03-27T09:39:13,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,1248K,80248K,0,00:05.326,hinton
460108_29.extern,extern,,COMPLETED,2022-03-27T09:39:13,2022-03-27T09:39:13,2022-03-27T09:39:24,00:00:11,60Gn,1152K,80208K,0,00:00.002,hinton
460115_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,,,,00:04.647,hinton
460115_29.batch,batch,,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,1248K,80248K,0,00:04.645,hinton
460115_29.extern,extern,,COMPLETED,2022-03-27T09:44:12,2022-03-27T09:44:12,2022-03-27T09:44:21,00:00:09,60Gn,1152K,80208K,0,00:00.002,hinton
460129_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,,,,00:04.630,hinton
460129_29.batch,batch,,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,1244K,80248K,0,00:04.628,hinton
460129_29.extern,extern,,COMPLETED,2022-03-27T09:49:12,2022-03-27T09:49:12,2022-03-27T09:49:20,00:00:08,60Gn,1148K,80208K,0,00:00.002,hinton
460140_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:54:12,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,,,,00:07.513,sablab-gpu-05
460140_29.batch,batch,,COMPLETED,2022-03-27T09:54:13,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,1236K,80248K,0,00:07.512,sablab-gpu-05
460140_29.extern,extern,,COMPLETED,2022-03-27T09:54:13,2022-03-27T09:54:13,2022-03-27T09:54:33,00:00:20,60Gn,1136K,80188K,0,00:00.001,sablab-gpu-05
460141_29,PuddinPcc,gpu,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,,,,00:07.308,sablab-gpu-04
460141_29.batch,batch,,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,1240K,80248K,0,00:07.306,sablab-gpu-04
460141_29.extern,extern,,COMPLETED,2022-03-27T09:59:12,2022-03-27T09:59:12,2022-03-27T09:59:32,00:00:20,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460142_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,,,,00:08.187,sablab-gpu-01
460142_29.batch,batch,,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,1240K,80248K,0,00:08.185,sablab-gpu-01
460142_29.extern,extern,,COMPLETED,2022-03-27T10:04:12,2022-03-27T10:04:12,2022-03-27T10:04:33,00:00:21,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460143_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:09:12,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,,,,00:05.436,sablab-gpu-01
460143_29.batch,batch,,COMPLETED,2022-03-27T10:09:13,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,1240K,80248K,0,00:05.435,sablab-gpu-01
460143_29.extern,extern,,COMPLETED,2022-03-27T10:09:13,2022-03-27T10:09:13,2022-03-27T10:09:22,00:00:09,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460144_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:14:12,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,,,,00:05.411,sablab-gpu-01
460144_29.batch,batch,,COMPLETED,2022-03-27T10:14:13,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,1240K,80248K,0,00:05.409,sablab-gpu-01
460144_29.extern,extern,,COMPLETED,2022-03-27T10:14:13,2022-03-27T10:14:13,2022-03-27T10:14:22,00:00:09,60Gn,1144K,80188K,0,00:00.001,sablab-gpu-01
460177_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,,,,00:05.274,hinton
460177_29.batch,batch,,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,1248K,80248K,0,00:05.271,hinton
460177_29.extern,extern,,COMPLETED,2022-03-27T10:19:12,2022-03-27T10:19:12,2022-03-27T10:19:25,00:00:13,60Gn,1152K,80208K,0,00:00.002,hinton
460183_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:24:12,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,,,,00:04.634,hinton
460183_29.batch,batch,,COMPLETED,2022-03-27T10:24:13,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,1252K,80248K,0,00:04.631,hinton
460183_29.extern,extern,,COMPLETED,2022-03-27T10:24:13,2022-03-27T10:24:13,2022-03-27T10:24:21,00:00:08,60Gn,1152K,80208K,0,00:00.002,hinton
460190_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,,,,00:04.620,hinton
460190_29.batch,batch,,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,1248K,80248K,0,00:04.618,hinton
460190_29.extern,extern,,COMPLETED,2022-03-27T10:29:12,2022-03-27T10:29:12,2022-03-27T10:29:21,00:00:09,60Gn,1148K,80208K,0,00:00.002,hinton
460199_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,,,,00:04.614,hinton
460199_29.batch,batch,,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,1248K,80248K,0,00:04.611,hinton
460199_29.extern,extern,,COMPLETED,2022-03-27T10:34:12,2022-03-27T10:34:12,2022-03-27T10:34:21,00:00:09,60Gn,1152K,80208K,0,00:00.002,hinton
460209_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:39:12,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,,,,00:07.299,sablab-gpu-04
460209_29.batch,batch,,COMPLETED,2022-03-27T10:39:13,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,1240K,80248K,0,00:07.297,sablab-gpu-04
460209_29.extern,extern,,COMPLETED,2022-03-27T10:39:13,2022-03-27T10:39:13,2022-03-27T10:39:33,00:00:20,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460210_29,PuddinPcc,gpu,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,,,,00:05.414,sablab-gpu-04
460210_29.batch,batch,,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,1240K,80248K,0,00:05.413,sablab-gpu-04
460210_29.extern,extern,,COMPLETED,2022-03-27T10:42:55,2022-03-27T10:42:55,2022-03-27T10:43:05,00:00:10,60Gn,1140K,80188K,0,00:00.001,sablab-gpu-04
460355,bash,default_partition-interactive,FAILED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,,,,00:00.754,joachims-cpu-01
460355.extern,extern,,COMPLETED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,1168K,80212K,0,00:00.002,joachims-cpu-01
460355.0,bash,,FAILED,2022-03-27T12:19:28,2022-03-27T12:19:28,2022-03-27T12:28:30,00:09:02,1000Mc,5924K,213376K,0,00:00.752,joachims-cpu-01
